crop_id,subset,image,box_index,original_class,orig_x1,orig_y1,orig_x2,orig_y2,confirmed,reviewer_class,redraw_x1y1x2y2,comment
Image__2023-06-05__13-26-19__b0,train,Image__2023-06-05__13-26-19.jpg,0,defect,128,128,217,193,1,particle,,
20250512T120624Z_006858_313_bot_raw__b0,test_3,20250512T120624Z_006858_313_bot_raw.jpg,0,particle,128,128,199,198,1,particle,,
20250512T120624Z_006858_313_bot_raw__b1,test_3,20250512T120624Z_006858_313_bot_raw.jpg,1,particle,128,128,203,204,1,particle,,
Image__2025-03-11__13-42-21__b0,train,Image__2025-03-11__13-42-21.jpg,0,particle,128,0,200,61,1,particle,,
Image__2025-03-11__13-42-21__b1,train,Image__2025-03-11__13-42-21.jpg,1,particle,128,66,185,126,1,particle,,
Image__2023-10-04__16-20-12__b0,train,Image__2023-10-04__16-20-12.jpg,0,defect,128,128,189,195,1,defect,,
Image__2024-05-28__13-33-31__b0,test_2,Image__2024-05-28__13-33-31.jpg,0,defect,128,128,225,247,1,defect,,
Image__2024-05-28__17-01-11__b0,test_2,Image__2024-05-28__17-01-11.jpg,0,defect,128,128,238,238,1,defect,,
Image__2024-05-28__13-07-52__b0,test_2,Image__2024-05-28__13-07-52.jpg,0,defect,128,128,226,207,1,defect,,
Image__2025-03-11__11-01-29__b0,train,Image__2025-03-11__11-01-29.jpg,0,particle,128,128,190,191,1,particle,,
20250512T120530Z_005313_326_mid_raw__b0,test_3,20250512T120530Z_005313_326_mid_raw.jpg,0,particle,128,128,205,204,1,particle,,
Image__2023-06-05__17-21-50__b0,train,Image__2023-06-05__17-21-50.jpg,0,defect,128,128,243,224,1,particle,,
20250512T120823Z_010390_313_bot_raw__b0,test_3,20250512T120823Z_010390_313_bot_raw.jpg,0,particle,128,128,238,241,1,defect,,
Image__2023-06-07__16-54-18__b0,train,Image__2023-06-07__16-54-18.jpg,0,defect,128,128,251,254,1,defect,,
20250512T120713Z_008403_339_top_raw__b0,test_3,20250512T120713Z_008403_339_top_raw.jpg,0,particle,74,128,153,203,1,particle,,
